gene_set	q_value	p_value	observed	background
GOBP_DETOXIFICATION_OF_COPPER_ION	0.0003333263700855645	4.352655655335134e-08	7.0	18.0
GOBP_STRESS_RESPONSE_TO_METAL_ION	0.01366590342868241	3.569052867245341e-06	7.0	32.0
GOBP_CELLULAR_RESPONSE_TO_ZINC_ION	0.04365374237223074	1.7101231015499117e-05	7.0	40.0
GOBP_RESPONSE_TO_ERYTHROPOIETIN	0.3296842622813059	0.00017220384553737577	3.0	6.0
GOBP_LEUKOTRIENE_B4_CATABOLIC_PROCESS	0.7157385801426365	0.0004673142988656545	3.0	8.0
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL	0.7549750395200305	0.0006901051549543241	3.0	9.0
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL	0.7549750395200305	0.0006901051549543241	3.0	9.0
GOBP_CELLULAR_RESPONSE_TO_CADMIUM_ION	0.8568801566609885	0.0008951477217665067	7.0	74.0
GOBP_TRANSITION_METAL_ION_TRANSPORT	1.0	0.6259709830668649	5.0	258.0
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	1.0	0.3916679253548075	3.0	108.0
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	1.0	0.0568723468778135	3.0	42.0
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	1.0	0.3790115486334113	2.0	63.0
GOBP_REGULATION_OF_MITOTIC_RECOMBINATION	1.0	0.04292168198417545	2.0	16.0
GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	1.0	0.34382159064284573	1.0	20.0
GOBP_SINGLE_STRAND_BREAK_REPAIR	1.0	0.10823732921382676	2.0	27.0
GOBP_REPRODUCTION	1.0	0.9692906712995784	62.0	3680.0
GOBP_UREA_CYCLE	1.0	1.0	0.0	23.0
GOBP_VASCULOGENESIS	1.0	0.5337837337615065	7.0	330.0
GOBP_REGULATION_OF_DNA_RECOMBINATION	1.0	0.4581965088603874	8.0	354.0
GOBP_CITRULLINE_METABOLIC_PROCESS	1.0	1.0	0.0	46.0
GOBP_MEIOTIC_SPINDLE_ORGANIZATION	1.0	1.0	0.0	52.0
GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	1.0	1.0	0.0	19.0
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	1.0	0.6425739442510019	10.0	519.0
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	1.0	0.9784964639297511	30.0	1999.0
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	1.0	0.7993697867503402	9.0	543.0
GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING	1.0	0.15036165564222673	2.0	33.0
GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	1.0	0.42291561548903434	2.0	69.0
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	1.0	0.8733403293527132	1.0	98.0
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	1.0	0.5872822278542548	1.0	42.0
GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS	1.0	1.0	0.0	28.0
GOBP_SULFUR_AMINO_ACID_TRANSPORT	1.0	0.2709220066506044	1.0	15.0
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.20435834789400445	74.0	3219.0
GOBP_RRNA_MODIFICATION	1.0	0.810866790277477	1.0	79.0
GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS	1.0	0.4795850980788551	1.0	31.0
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	1.0	0.8278790732078485	3.0	215.0
GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	1.0	1.0	0.0	28.0
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	1.0	0.9115339586248034	1.0	115.0
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	1.0	0.8650610529666971	1.0	95.0
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	1.0	0.996903521589599	6.0	704.0
GOBP_ALLANTOIN_METABOLIC_PROCESS	1.0	1.0	0.0	16.0
GOBP_MITOCHONDRIAL_FISSION	1.0	1.0	0.0	139.0
GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS	1.0	1.0	0.0	1.0
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	1.0	0.015685940848241386	11.0	248.0
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS	1.0	1.0	0.0	55.0
GOBP_MITOTIC_CELL_CYCLE	1.0	0.9990430555193246	40.0	2952.0
GOBP_MITOTIC_CYTOKINESIS	1.0	0.8269162892847011	4.0	275.0
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	1.0	0.8415512055798465	3.0	221.0
GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	1.0	0.6561372994936635	2.0	107.0
GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	1.0	1.0	0.0	27.0
GOBP_REGULATION_OF_HISTONE_H3_K36_METHYLATION	1.0	0.45718033493803434	1.0	29.0
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	1.0	0.24112765889651663	2.0	45.0
GOBP_RESPONSE_TO_OXYGEN_RADICAL	1.0	0.45824399724088594	2.0	74.0
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	1.0	1.0	0.0	41.0
GOBP_PROTEIN_DENEDDYLATION	1.0	1.0	0.0	29.0
GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP	1.0	1.0	0.0	1.0
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1.0	0.2548049300712446	26.0	1081.0
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	1.0	0.5294337611846095	6.0	280.0
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	1.0	0.5205959811624651	5.0	229.0
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	1.0	0.14090913236233457	4.0	96.0
GOBP_MRNA_3_SPLICE_SITE_RECOGNITION	1.0	0.5010660339373932	1.0	33.0
GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	1.0	0.017474838515840745	2.0	10.0
GOBP_MAPK_CASCADE	1.0	0.9809280929056998	37.0	2406.0
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	1.0	1.0	0.0	23.0
GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI	1.0	0.05872017037770586	2.0	19.0
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	1.0	0.5209716449387887	3.0	132.0
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	1.0	0.32984887782257943	1.0	19.0
GOBP_AUTOPHAGY_OF_MITOCHONDRION	1.0	0.8598793361977621	4.0	292.0
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	1.0	0.7412695314369793	2.0	126.0
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	1.0	1.0	0.0	15.0
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	1.0	0.36023749937987076	10.0	413.0
GOBP_MATURATION_OF_5_8S_RRNA	1.0	0.5312974376112051	2.0	85.0
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	1.0	0.015465613980025364	5.0	70.0
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	1.0	1.0	0.0	40.0
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	1.0	0.723518935010691	1.0	61.0
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	1.0	0.3489723746914401	2.0	59.0
GOBP_MATURATION_OF_LSU_RRNA	1.0	1.0	0.0	77.0
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	1.0	0.4094388730958723	1.0	25.0
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	1.0	1.0	0.0	15.0
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	1.0	0.1650400220118186	2.0	35.0
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	1.0	1.0	0.0	14.0
GOBP_BOX_C_D_SNORNP_ASSEMBLY	1.0	0.13596678338227056	2.0	31.0
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	1.0	1.0	0.0	31.0
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	1.0	0.06367066544291676	3.0	44.0
GOBP_TELOMERE_MAINTENANCE	1.0	0.7899759248030344	8.0	483.0
GOBP_RECOMBINATIONAL_REPAIR	1.0	0.8441670988672538	7.0	459.0
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	1.0	0.5316380758819226	1.0	36.0
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	1.0	1.0	0.0	44.0
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	1.0	0.38039438249818036	3.0	106.0
GOBP_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	1.0	0.38643201855252823	2.0	64.0
GOBP_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	1.0	1.0	0.0	11.0
GOBP_SISTER_CHROMATID_SEGREGATION	1.0	0.7154607438407915	11.0	604.0
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	1.0	1.0	0.0	28.0
GOBP_CELL_MORPHOGENESIS	1.0	0.9999999948384726	34.0	3659.0
GOBP_EMBRYONIC_AXIS_SPECIFICATION	1.0	1.0	0.0	87.0
GOBP_PROTEIN_POLYUBIQUITINATION	1.0	0.9589418975490427	11.0	827.0
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	1.0	0.7207947235007375	2.0	121.0
GOBP_FATTY_ACID_ALPHA_OXIDATION	1.0	0.30100547920300863	1.0	17.0
GOBP_MITOPHAGY	1.0	0.38039438249818036	3.0	106.0
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	1.0	0.5603386576035476	1.0	39.0
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	1.0	0.6542874974093812	10.0	524.0
